rowId,depAirportId,arrAirportId,airlineId,airlineName,aircraftTypes
163,508,468,352,Royal Air Force,Saab SF340A/B
164,508,504,352,Royal Air Force,Saab SF340A/B
165,468,508,352,Royal Air Force,Saab SF340A/B
166,504,508,352,Royal Air Force,Saab SF340A/B
167,2158,2168,390,Professional Express Courier Service,Saab SF340A/B;British Aerospace ATP
168,2138,2158,390,Professional Express Courier Service,Saab SF340A/B;British Aerospace ATP
169,2168,2158,390,Professional Express Courier Service,Saab SF340A/B;British Aerospace ATP
170,2471,2369,227,Qatar Amiri Flight,Saab SF340A/B
171,2666,2369,227,Qatar Amiri Flight,Saab SF340A/B
172,2158,2138,390,Professional Express Courier Service,Saab SF340A/B
173,2158,2142,390,Professional Express Courier Service,Saab SF340A/B
174,2158,901,390,Professional Express Courier Service,Saab SF340A/B
175,2158,903,390,Professional Express Courier Service,Saab SF340A/B
176,2158,1712,390,Professional Express Courier Service,Saab SF340A/B
177,2158,2167,390,Professional Express Courier Service,Saab SF340A/B
178,2158,2166,390,Professional Express Courier Service,Saab SF340A/B
179,2138,2166,390,Professional Express Courier Service,Saab SF340A/B
180,2139,2167,390,Professional Express Courier Service,Saab SF340A/B
181,897,903,390,Professional Express Courier Service,Saab SF340A/B
182,2142,2158,390,Professional Express Courier Service,Saab SF340A/B
183,901,2158,390,Professional Express Courier Service,Saab SF340A/B
184,901,907,390,Professional Express Courier Service,Saab SF340A/B
185,1705,2166,390,Professional Express Courier Service,Saab SF340A/B
186,903,2158,390,Professional Express Courier Service,Saab SF340A/B
187,903,897,390,Professional Express Courier Service,Saab SF340A/B
188,907,901,390,Professional Express Courier Service,Saab SF340A/B
189,1712,2158,390,Professional Express Courier Service,Saab SF340A/B
190,2167,2158,390,Professional Express Courier Service,Saab SF340A/B
191,2167,2139,390,Professional Express Courier Service,Saab SF340A/B
192,2166,2158,390,Professional Express Courier Service,Saab SF340A/B
193,2166,1705,390,Professional Express Courier Service,Saab SF340A/B
194,2369,2522,227,Qatar Amiri Flight,Saab SF340A/B
195,2369,2535,227,Qatar Amiri Flight,Saab SF340A/B
196,2369,2545,227,Qatar Amiri Flight,Saab SF340A/B
197,2369,2563,227,Qatar Amiri Flight,Saab SF340A/B
198,2369,2471,227,Qatar Amiri Flight,Saab SF340A/B
199,2369,2666,227,Qatar Amiri Flight,Saab SF340A/B
200,207,2446,227,Qatar Amiri Flight,Saab SF340A/B
201,217,2446,227,Qatar Amiri Flight,Saab SF340A/B
202,217,2681,227,Qatar Amiri Flight,Saab SF340A/B
203,2499,2446,227,Qatar Amiri Flight,Saab SF340A/B
204,2499,2447,227,Qatar Amiri Flight,Saab SF340A/B
205,2499,2657,227,Qatar Amiri Flight,Saab SF340A/B
206,2446,207,227,Qatar Amiri Flight,Saab SF340A/B
207,2446,217,227,Qatar Amiri Flight,Saab SF340A/B
208,2446,2499,227,Qatar Amiri Flight,Saab SF340A/B
209,2446,212,227,Qatar Amiri Flight,Saab SF340A/B
210,2446,214,227,Qatar Amiri Flight,Saab SF340A/B
211,2446,213,227,Qatar Amiri Flight,Saab SF340A/B
212,2446,2583,227,Qatar Amiri Flight,Saab SF340A/B
213,2446,215,227,Qatar Amiri Flight,Saab SF340A/B
214,2446,221,227,Qatar Amiri Flight,Saab SF340A/B
215,2446,2657,227,Qatar Amiri Flight,Saab SF340A/B
216,212,2446,227,Qatar Amiri Flight,Saab SF340A/B
217,214,2446,227,Qatar Amiri Flight,Saab SF340A/B
218,214,213,227,Qatar Amiri Flight,Saab SF340A/B
219,213,2446,227,Qatar Amiri Flight,Saab SF340A/B
220,2463,2666,227,Qatar Amiri Flight,Saab SF340A/B
221,2451,2583,227,Qatar Amiri Flight,Saab SF340A/B
222,2451,2657,227,Qatar Amiri Flight,Saab SF340A/B
223,2488,215,227,Qatar Amiri Flight,Saab SF340A/B
224,2488,2657,227,Qatar Amiri Flight,Saab SF340A/B
225,2522,2369,227,Qatar Amiri Flight,Saab SF340A/B
226,2535,2369,227,Qatar Amiri Flight,Saab SF340A/B
227,2535,2583,227,Qatar Amiri Flight,Saab SF340A/B
228,2583,2446,227,Qatar Amiri Flight,Saab SF340A/B
229,2583,2451,227,Qatar Amiri Flight,Saab SF340A/B
230,2583,2535,227,Qatar Amiri Flight,Saab SF340A/B
231,2583,215,227,Qatar Amiri Flight,Saab SF340A/B
232,2583,2587,227,Qatar Amiri Flight,Saab SF340A/B
233,2583,2447,227,Qatar Amiri Flight,Saab SF340A/B
234,2583,2656,227,Qatar Amiri Flight,Saab SF340A/B
235,2545,2369,227,Qatar Amiri Flight,Saab SF340A/B
236,215,2446,227,Qatar Amiri Flight,Saab SF340A/B
237,215,2488,227,Qatar Amiri Flight,Saab SF340A/B
238,215,2583,227,Qatar Amiri Flight,Saab SF340A/B
239,215,2681,227,Qatar Amiri Flight,Saab SF340A/B
240,2563,2369,227,Qatar Amiri Flight,Saab SF340A/B
241,2681,217,227,Qatar Amiri Flight,Saab SF340A/B
242,2681,215,227,Qatar Amiri Flight,Saab SF340A/B
243,2681,2657,227,Qatar Amiri Flight,Saab SF340A/B
244,2587,2583,227,Qatar Amiri Flight,Saab SF340A/B
245,2587,2657,227,Qatar Amiri Flight,Saab SF340A/B
246,2447,2499,227,Qatar Amiri Flight,Saab SF340A/B
247,2447,2583,227,Qatar Amiri Flight,Saab SF340A/B
248,221,2446,227,Qatar Amiri Flight,Saab SF340A/B
249,2656,2583,227,Qatar Amiri Flight,Saab SF340A/B
250,2656,2657,227,Qatar Amiri Flight,Saab SF340A/B
251,2657,2499,227,Qatar Amiri Flight,Saab SF340A/B
252,2657,2446,227,Qatar Amiri Flight,Saab SF340A/B
253,2657,2451,227,Qatar Amiri Flight,Saab SF340A/B
254,2657,2488,227,Qatar Amiri Flight,Saab SF340A/B
255,2657,2681,227,Qatar Amiri Flight,Saab SF340A/B
256,2657,2587,227,Qatar Amiri Flight,Saab SF340A/B
257,2657,2656,227,Qatar Amiri Flight,Saab SF340A/B
258,2666,2463,227,Qatar Amiri Flight,Saab SF340A/B
259,508,453,352,Royal Air Force,Saab SF340A/B
260,453,508,352,Royal Air Force,Saab SF340A/B
261,53,64,400,Royal American Airways,Saab SF340A/B
262,53,67,400,Royal American Airways,Saab SF340A/B
263,53,74,400,Royal American Airways,Saab SF340A/B
264,53,81,400,Royal American Airways,Saab SF340A/B
265,52,64,400,Royal American Airways,Saab SF340A/B
266,52,84,400,Royal American Airways,Saab SF340A/B
267,76,56,400,Royal American Airways,Saab SF340A/B
268,76,59,400,Royal American Airways,Saab SF340A/B
269,57,65,400,Royal American Airways,Saab SF340A/B
270,57,74,400,Royal American Airways,Saab SF340A/B
271,56,66,400,Royal American Airways,Saab SF340A/B
272,56,84,400,Royal American Airways,Saab SF340A/B
273,56,71,400,Royal American Airways,Saab SF340A/B
274,59,76,400,Royal American Airways,Saab SF340A/B
275,59,56,400,Royal American Airways,Saab SF340A/B
276,64,53,400,Royal American Airways,Saab SF340A/B
277,64,52,400,Royal American Airways,Saab SF340A/B
278,65,57,400,Royal American Airways,Saab SF340A/B
279,65,66,400,Royal American Airways,Saab SF340A/B
280,66,56,400,Royal American Airways,Saab SF340A/B
281,66,65,400,Royal American Airways,Saab SF340A/B
282,2696,74,400,Royal American Airways,Saab SF340A/B
283,67,53,400,Royal American Airways,Saab SF340A/B
284,84,52,400,Royal American Airways,Saab SF340A/B
285,84,76,400,Royal American Airways,Saab SF340A/B
286,84,56,400,Royal American Airways,Saab SF340A/B
287,84,59,400,Royal American Airways,Saab SF340A/B
288,72,71,400,Royal American Airways,Saab SF340A/B
289,71,56,400,Royal American Airways,Saab SF340A/B
290,71,72,400,Royal American Airways,Saab SF340A/B
291,71,86,400,Royal American Airways,Saab SF340A/B
292,74,53,400,Royal American Airways,Saab SF340A/B
293,74,57,400,Royal American Airways,Saab SF340A/B
294,74,2696,400,Royal American Airways,Saab SF340A/B
295,81,53,400,Royal American Airways,Saab SF340A/B
296,835,1857,60,SAM Colombia,Saab SF340A/B
297,358,1857,60,SAM Colombia,Saab SF340A/B
298,1494,1857,60,SAM Colombia,Saab SF340A/B
299,1078,1857,60,SAM Colombia,Saab SF340A/B
300,1857,835,60,SAM Colombia,Saab SF340A/B
301,1857,358,60,SAM Colombia,Saab SF340A/B
302,1857,1494,60,SAM Colombia,Saab SF340A/B
303,1857,1078,60,SAM Colombia,Saab SF340A/B
304,2501,2362,416,South Central Air,Saab SF340A/B
305,2362,2501,416,South Central Air,Saab SF340A/B
306,2362,2364,416,South Central Air,Saab SF340A/B
307,2362,2412,416,South Central Air,Saab SF340A/B
308,2362,2428,416,South Central Air,Saab SF340A/B
309,2362,2542,416,South Central Air,Saab SF340A/B
310,2362,2626,416,South Central Air,Saab SF340A/B
311,2362,2652,416,South Central Air,Saab SF340A/B
312,2362,2594,416,South Central Air,Saab SF340A/B
313,2364,2362,416,South Central Air,Saab SF340A/B
314,2364,2542,416,South Central Air,Saab SF340A/B
315,2388,2484,416,South Central Air,Saab SF340A/B
316,2388,2592,416,South Central Air,Saab SF340A/B
317,2388,2597,416,South Central Air,Saab SF340A/B
318,2412,2362,416,South Central Air,Saab SF340A/B
319,2428,2362,416,South Central Air,Saab SF340A/B
320,2484,2388,416,South Central Air,Saab SF340A/B
321,2542,2362,416,South Central Air,Saab SF340A/B
322,2542,2364,416,South Central Air,Saab SF340A/B
323,2592,2388,416,South Central Air,Saab SF340A/B
324,2597,2388,416,South Central Air,Saab SF340A/B
325,2626,2362,416,South Central Air,Saab SF340A/B
326,2652,2362,416,South Central Air,Saab SF340A/B
327,2594,2362,416,South Central Air,Saab SF340A/B
328,835,1857,281,Spirit of Africa Airlines,Saab SF340A/B
329,358,1857,281,Spirit of Africa Airlines,Saab SF340A/B
330,1494,1857,281,Spirit of Africa Airlines,Saab SF340A/B
331,837,1857,281,Spirit of Africa Airlines,Saab SF340A/B
332,1988,1987,281,Spirit of Africa Airlines,Saab SF340A/B
333,1078,1857,281,Spirit of Africa Airlines,Saab SF340A/B
334,839,1857,281,Spirit of Africa Airlines,Saab SF340A/B
335,842,1857,281,Spirit of Africa Airlines,Saab SF340A/B
336,1857,835,281,Spirit of Africa Airlines,Saab SF340A/B
337,1857,358,281,Spirit of Africa Airlines,Saab SF340A/B
338,1857,1494,281,Spirit of Africa Airlines,Saab SF340A/B
339,1857,837,281,Spirit of Africa Airlines,Saab SF340A/B
340,1857,1078,281,Spirit of Africa Airlines,Saab SF340A/B
341,1857,839,281,Spirit of Africa Airlines,Saab SF340A/B
342,1857,842,281,Spirit of Africa Airlines,Saab SF340A/B
343,1857,1987,281,Spirit of Africa Airlines,Saab SF340A/B
344,1857,841,281,Spirit of Africa Airlines,Saab SF340A/B
345,1857,1615,281,Spirit of Africa Airlines,Saab SF340A/B
346,1987,1988,281,Spirit of Africa Airlines,Saab SF340A/B
347,1987,1857,281,Spirit of Africa Airlines,Saab SF340A/B
348,841,1857,281,Spirit of Africa Airlines,Saab SF340A/B
349,1615,1857,281,Spirit of Africa Airlines,Saab SF340A/B
350,2307,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
351,2307,2344,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
352,1284,1285,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
353,1284,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
354,1285,1284,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
355,2317,2324,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
356,2317,2346,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
357,2319,2307,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
358,2319,1284,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
359,2319,2323,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
360,2319,2324,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
361,2319,2325,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
362,2319,2346,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
363,2319,2344,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
364,2323,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
365,2322,2324,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
366,2322,2346,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
367,2324,2317,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
368,2324,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
369,2324,2322,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
370,2324,2346,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
371,2325,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
372,2346,2317,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
373,2346,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
374,2346,2322,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
375,2346,2324,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
376,2344,2307,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
377,2344,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B
378,1091,1094,40,Shooter Air Courier,Saab SF340A/B
379,1092,1093,40,Shooter Air Courier,Saab SF340A/B
380,1092,1094,40,Shooter Air Courier,Saab SF340A/B
381,1093,1092,40,Shooter Air Courier,Saab SF340A/B
382,1093,1094,40,Shooter Air Courier,Saab SF340A/B
383,1094,1091,40,Shooter Air Courier,Saab SF340A/B
384,1094,1092,40,Shooter Air Courier,Saab SF340A/B
385,1094,1093,40,Shooter Air Courier,Saab SF340A/B
386,826,828,14,Styrian Airways,Saab SF340A/B
387,826,1717,14,Styrian Airways,Saab SF340A/B
388,828,826,14,Styrian Airways,Saab SF340A/B
389,1700,1719,14,Styrian Airways,Saab SF340A/B
390,1719,1700,14,Styrian Airways,Saab SF340A/B
391,1719,1717,14,Styrian Airways,Saab SF340A/B
392,1717,826,14,Styrian Airways,Saab SF340A/B
393,1717,1719,14,Styrian Airways,Saab SF340A/B
394,770,772,411,Sky Harbor Air Service,Saab SF340A/B
395,2501,2362,192,Transportes Aereos Regionales,Saab SF340A/B
396,2362,2501,192,Transportes Aereos Regionales,Saab SF340A/B
397,2362,2364,192,Transportes Aereos Regionales,Saab SF340A/B
398,2362,2412,192,Transportes Aereos Regionales,Saab SF340A/B
399,2362,2428,192,Transportes Aereos Regionales,Saab SF340A/B
400,2362,2542,192,Transportes Aereos Regionales,Saab SF340A/B
401,2362,2626,192,Transportes Aereos Regionales,Saab SF340A/B
402,2362,2652,192,Transportes Aereos Regionales,Saab SF340A/B
403,2362,2594,192,Transportes Aereos Regionales,Saab SF340A/B
404,2362,2669,192,Transportes Aereos Regionales,Saab SF340A/B
405,2364,2362,192,Transportes Aereos Regionales,Saab SF340A/B
406,2364,2542,192,Transportes Aereos Regionales,Saab SF340A/B
407,2388,2484,192,Transportes Aereos Regionales,Saab SF340A/B
408,2388,2592,192,Transportes Aereos Regionales,Saab SF340A/B
409,2388,2597,192,Transportes Aereos Regionales,Saab SF340A/B
410,2412,2362,192,Transportes Aereos Regionales,Saab SF340A/B
411,2428,2362,192,Transportes Aereos Regionales,Saab SF340A/B
412,2484,2388,192,Transportes Aereos Regionales,Saab SF340A/B
413,2542,2362,192,Transportes Aereos Regionales,Saab SF340A/B
414,2542,2364,192,Transportes Aereos Regionales,Saab SF340A/B
415,2592,2388,192,Transportes Aereos Regionales,Saab SF340A/B
416,2597,2388,192,Transportes Aereos Regionales,Saab SF340A/B
417,2626,2362,192,Transportes Aereos Regionales,Saab SF340A/B
418,2652,2362,192,Transportes Aereos Regionales,Saab SF340A/B
419,2652,2594,192,Transportes Aereos Regionales,Saab SF340A/B
420,2594,2362,192,Transportes Aereos Regionales,Saab SF340A/B
